index,start_time,end_time,section,contents
26,00:00:26,00:00:27,"보카
00내기다",    승혀코미다시  저들  
27,00:00:27,00:00:28,"6
해 노나기",：     소스 드으고려
28,00:00:28,00:00:29,"0 가리(려
후일 ) 팬클럽 주인들 맞여라!
때",송혜교드어 더그  
29,00:00:29,00:00:30,"가리 ㅣ
가하여 이 아이0",    때        스즈      때 제 은  스우 쑤은 자    별   모 ㅠ 터비으   
30,00:00:30,00:00:31,"려 「
타리기으으으 이",_                        그      빼개 로   한 개      내    기라서    배 가”혜바라키안녕?\  
31,00:00:31,00:00:32,"녀 ㅣ
놀르 일 비보이",                 나쁜 여 으 아흔 세 그 사아 구자 가루그 재주르르 적주 그혜바라키 인덩?\
32,00:00:32,00:00:33,"라커
나래 260대이0", ”나가배아 고이 가 할끼    느니도덕노 아으     베네네 이 그 내수  는   베 
33,00:00:33,00:00:34,"[내
[운   「
타기으오오오 너",리크포텐크키보고가자    타으에     ” “   도아 그
34,00:00:34,00:00:35,"288 '
을   팬클럽 주인을 맞혀라네
[|    |",리브그이 네오겨우 보오 사오 고그   밴츠  수      수 비이 디개  닌 
35,00:00:35,00:00:36,"기 ~

1 22100

다가 펀클럽주민을및혀래<
= [야ㅋ        너00    페",너짐벽보ㄴ_ 오서로 를  도  저뚱유 포텐 턴즌가 제
36,00:00:36,00:00:37,"펴
놀리 패해 기나",세 너                          는       살쏘 ＊ㄴ은 나 토소두   “ 이노 개           큰 우   
37,00:00:37,00:00:38,"운        ,
타키 }09러구을못히214",     솔         여배 연이기 ㄷㄴㄴ다네    미    개 
38,00:00:38,00:00:39,"리그 2
나라기기르 096", 키   노오 경 새빼 
39,00:00:39,00:00:40,"기려    두
그 이을 00826못001",르모 조리이너트 느             그   느시늘아사 겨이노오녀
40,00:00:40,00:00:41,".- 기려   =
그 아일068269024", 오즈 으모드잘라 보니이런오바 스즈 고    첫소리 기개 
41,00:00:41,00:00:42,"뜰라운   두
늘기 2 자 다이아",     인렁끌푸  브로우이스가ㅣ 기 아  개는  느구 부 그 、
42,00:00:42,00:00:43,"티카
격  [0          아키개3 이그 디새",리모 비크시으으구마드오너 내 도노
43,00:00:43,00:00:44,"다는 이이
래이",도 만  는 은
44,00:00:44,00:00:45,"가느 으이
라이아",츠             는 이 도 
45,00:00:45,00:00:46,"티카
  [0          팬클럽 주인을 맞혀라!4",득
46,00:00:46,00:00:47,"가느 으이
래이",노즈녕
47,00:00:47,00:00:48,"다바 으으으 이
= 요 개고기 디캐든가 크다 미사",         새 ㅅ토드 우오 그 나 시
48,00:00:48,00:00:49,"놀리동,
노엘 고기 디캐아그 미사
로요                 는",         브                       타기 ㄴ 으     자       크스ㅣ      는 기 년 비
49,00:00:49,00:00:50,"가리
더리 이 01",는주 주스\뷰
50,00:00:50,00:00:51,"가 라려

다가 가프 - 행
팬클럽 주인물 맞혀라!

=요           !",스노즈개” 
51,00:00:51,00:00:52,"나라  | 왕만두1000ㅁ0      ;
크리 부 펀클럽 주인을맞히라<",쏘고     나노비노
52,00:00:52,00:00:53,"「     나
모으

거스 보
~

'   7 =",쏘고이뽀\넘
53,00:00:53,00:00:54,"다이 배키타해
| 을 }팬클럽주인들맞히라14
을 -- 0

=  변이, 2 10
     2
- _  그", 배떼주순결고              
54,00:00:54,00:00:55,"저요 해
탁라기파다이 000
1” < 0=,

~개        이 출",쏘고노이 입에 오래   로 그 너 뢰집비서 벼 히데 도버
55,00:00:55,00:00:56,"느리켜
더라겨2 주인을맞혀래1",_  오 
56,00:00:56,00:00:57,"가 라려
디아이 미도",터빼미리 뿌서이 드켈르게 때이
57,00:00:57,00:00:58,"티카
= 요         아크 래마그나 디노",에베 아버   의 이 어트 은 얼이래녕
58,00:00:58,00:00:59,"늘리도|
 [이         아크르마그나 디노",다 고으 대얼          리소                                     른 
59,00:00:59,00:01:00,"을라힌|
= 요         아키르이 그다디노",누왕부럽
60,00:01:00,00:01:01,"가파르
후ㅁ일 ) 팬클럼주인을 맞허라!<",왕부럽
61,00:01:01,00:01:02,"『    | 왕만두 00 |
트개 이드 주인을 맞혀라!<
군유일 팬클럽 주인물",아마미
62,00:01:02,00:01:03,"트6배르이
는 차 으다이므
= (2) 밀 06림주인을및히래<",느 나디 배해  때 개 에때
63,00:01:03,00:01:04,"높가운
트기
켜 요       팬클럽 주인을 맞혀라!
내",년                         로                               너         팬클럽 주인 고우 그거 \새 비사내는 로 
64,00:01:04,00:01:05,"늘가운

타가지아아

=) 일 『때38 주인및히래
1", 패클랜즈 이을 마슈     일드 덜 아느구개어 밸으으 울”
65,00:01:05,00:01:06,"가
트기
= 요       팬클럽 주인물 맞혀라!
1",팬클럽 주인을 맞여라 시   느교 띠  ㅋ       ㅋㅋ      뽀  타니여고버뉴
66,00:01:06,00:01:07,"는 이디
켜 요 논개 티키 다이나",    팬클럽 주인을 맞여라  ：     으으으 이다사 이스 
67,00:01:07,00:01:08,"디ㅋ
타의 1500개노이드",팬클럽 주인을 맞혀라 ㅁ  디기  기  호              주구 기라나이다 이 으로애\녕
68,00:01:08,00:01:09,"리
탁29 > 팬클럽주인을맞혀래1",              가 오고 ㄷㄷ  개ㅠㅠ 동호  로   
69,00:01:09,00:01:10,"!운 ㅣ
고요을1083009001", 겨 구으Ｌㄴ ㄱ고쿠 을 
70,00:01:10,00:01:11,"더 ㅣ
타리기이",          이 다 그애뼈때 이은 으그기  기라선어  주 터지  
71,00:01:11,00:01:12,"운
타이 0 드오이이에",로    ㅜ 이             랄따내       즈        쓴미제힌  가         을  랄 호  으른  쁘 을셔비  」
72,00:01:12,00:01:13,"|운
티키 팬클럽주인을맞혀래《-",    로 소래  그  소  드어 해    츠 으       드                        뱀  퀴    저  겨
73,00:01:13,00:01:14,"티카
 [0         아키래3 아그닥 디내",  책계로  현노오
74,00:01:14,00:01:15,"2
= [이         팬클럽 주인을 맞혀라!4",                 \ “    랙렬반간시고 너
75,00:01:15,00:01:16,"트기
격 요         팬클럽 주인을 맞혀라!4",\“느개 개  보새 소여
76,00:01:16,00:01:17,"터키
= 요         아키래3 이그 디노",게이  때
77,00:01:17,00:01:18,"개
켜 요 는 개고기 디캐므가그 미새", 뜨개  가 두비기케주기
78,00:01:18,00:01:19,"토키
격 요         아키아 가다 디내",는 내      즈 나 개
79,00:01:19,00:01:20,"트러
격 요         팬클럽 주인몰 맞혀라!*",   을 그가 오일  책    에      년  도
80,00:01:20,00:01:21,"3
= 요         아키르이 그타디노",    비 이건  시오리 벼  노드 나  
81,00:01:21,00:01:22,"트러
= 요         아키래이 그타디노",_  피           덜  도노드 어 바이
82,00:01:22,00:01:23,"토키
 [이         팬클럽 주인을 맞혀라!4",일     때               나     도   느리 
83,00:01:23,00:01:24,"」
주일 ) 팬클럽주인을맞히래14",는 똥”
84,00:01:24,00:01:25,"놀리동,
드래거 ) 팬클럽 주인몰 맞혀라!4",뜨개
85,00:01:25,00:01:26,"타라 22000 해
훈요일 팬클럽 주인물 맞허라
~",가도틸리”               
86,00:01:26,00:01:27,"0 카
이 ) 팬클럽 주인몰 맞혀라!4",밀제
87,00:01:27,00:01:28,"가트 하느는 미디
라이아",  ㅋㅋ 배       고 주         현
88,00:01:28,00:01:29,"나는 이디
7 을 땐립주인들맞히래<",”               
89,00:01:29,00:01:30,"(4
트고
겨 요         팬클럽 주인을 맞혀라!
1",이민크 어느  으선
90,00:01:30,00:01:31,"[0 [4

트고

구 요       팬클럽 주인을 맞혀라!
11",그리게  기니” 
91,00:01:31,00:01:32,"라운
타리키 > 팬클럽주인을 29",헬기조쿠 래으으 오그나가 해“니이 “에 으으녕
92,00:01:32,00:01:33,"라운
타리기 ) 팬클럽주인을 미래", _도 사자 마으바 자애 가 그 즈후새 볼트기주 ㅡ“기어\녕
93,00:01:33,00:01:34,"가라
후유밀 20캐300",“고  소 
94,00:01:34,00:01:35,"가을 개
티가기 거미 가래이 그파이노",
95,00:01:35,00:01:36,"!
브턴 20 다이노
드야기 뜨",  뽀도 가
96,00:01:36,00:01:37,"높긴은 , 6535000
= @ 을 } 팬클럽주인을맞히래<",
97,00:01:37,00:01:38,"3 커
 (이         아키개3 아게다 디나",빼탄한 녀섬
98,00:01:38,00:01:39,"더
격 요         아키개3 아게다 디나",메디\념
99,00:01:39,00:01:40,"가 리(려
늘 라몬, 로도 80000
= (2) 을] 『픈3립주인을맞히래<",그이 그기이 스이 히드사이
100,00:01:40,00:01:41,"1 의미
가느 이이
= (을 『06립주을윗히라",나그기이 으이그드사시
101,00:01:41,00:01:42,"개
켜 요 을  팬클럽 주인을 맞혀라!4",      무라다 개  개대개을 
102,00:01:42,00:01:43,"더하는 이이
크 요 개 디캠 그 타노",럭지만두 뭐어요벨삐더 가 수  오 
103,00:01:43,00:01:44,"[두
늘 카
= 요         팬클럽 주인을 맞혀라!
1",주후 우아 가은 나바소피버김찌만두 먹어애없삐 을
104,00:01:44,00:01:45,"0
늘 리히
켜 요          [이 13로이디노",  벼 킬지만두 다 은은 에  해을 
105,00:01:45,00:01:46,"고
티카 키
= 요         아키 래3 아가타 디내",빼느으이는뜨드브이  
106,00:01:46,00:01:47,"0
티카
= 요       아키 아가타 디노",빼드여이늘민드노이 
107,00:01:47,00:01:48,"늘
티카
= 요         팬클럽 주인을 맞혀라!《",드여는 민드부이 “에  
108,00:01:48,00:01:49,"라르
더 거203 주인을맞혀래",  주  
109,00:01:49,00:01:50,"가리켜
후 이일888 주인을맞히래1",사나  이성  
110,00:01:50,00:01:51,"가리켜
너라겨22 주인을맞히래1",       인      후   기팬클럽 수인을맞여라  을는시
111,00:01:51,00:01:52,"그라려
 놀리동, 으아 므
3 [0 을 } 팬클럽 주인을 맞혀라4",“파디피트라  별_ 개
112,00:01:52,00:01:53,"다 턴
준요일 } 팬클럽 주인을 맞혀라!",네   _파디키이 피임 ，배  
113,00:01:53,00:01:54,"티가기
켜 요         아키래3 아게다 디노",팬클럽 주인을맞여래을 
114,00:01:54,00:01:55,"아트 허으니 민이
= (일 *땐3럽주인못히라 <",아오이  므어비 어보
115,00:01:55,00:01:56,"가리(대
더라거 》팬클럽주인을 비", 해 개 그 으지다이 고   
116,00:01:56,00:01:57,"!던 |
고아을10083009001",   고 그 기고보브 ㄴ개  즈 이기   
117,00:01:57,00:01:58,"!던 ㅣ
고아일100830090미",개해톨   으쁘 뽀  구구 그파르개 ㄱ  그기   
118,00:01:58,00:01:59,"2턴
타기 도 00000
팬클럽 주인을 맞혀라!4", 레이셰  애켜트
119,00:01:59,00:02:00,"지가
골인 일10038
새해",고열 씨그레이션
120,00:02:00,00:02:01,"놀리롬
트리 대 으다이
라기내이",레이션 머드 _그 
121,00:02:01,00:02:02,"가지    왕만두 0010
26월 } 펀클럽 주인을 맞혀라!<",
122,00:02:02,00:02:03,"가지    왕만두 00000
26일 팬클럽 주인을 맞허라!", 
123,00:02:03,00:02:04,"은 2
트라 느이디
 [0 개가 이디패3미그노",그        시 는 셔” 
124,00:02:04,00:02:05,"는다
려 요 개 이기기 맞혀라",” 
125,00:02:05,00:02:06,"가
티카
켜 요       팬클럽 주인을 맞혀라!
너",  ”
126,00:02:06,00:02:07,"가
티카
켜 요       팬클럽 주인물 맞혀라!
1", 쇄 오이 별  무제 이 패터   버 들   견지
127,00:02:07,00:02:08,"고
타가
쿠 요       팬클럽 주인을 맞혀라!
너",        누         부케 베      마구  로보르승“는 시
128,00:02:08,00:02:09,"다  ㅣ
탁라거고 마아",리리오고배 기이시든르는    태      이션    터    들 로 격 라스 내  해고      기선레이션  
129,00:02:09,00:02:10,"가 리( ㅣ
바라여이이",이니 브래이이노드  수  년  데이션 배우 조그ㄴ 개다 이기 을 기 게리 비브롤기  시 그가사개 버오오레이션   
130,00:02:10,00:02:11,"트너   !
7 이 일 ) 팬클럽 주인물 기",그은 인레이션
131,00:02:11,00:02:12,"은
| 》 팬클럽 주인을 맞허라14
이",레이션
132,00:02:12,00:02:13,"| 2 ~
》 팬클럽 주인을 맞허라
를                ;",선내세  트차고  도솔 건  
133,00:02:13,00:02:14,"돌
 팬클럽 주인을 맞혀라4",조녀심다 누수 배뽀  
134,00:02:14,00:02:15,"나   개

그야     팬클럽 주인물 맞혀래!

|
|",       끼개 티               로                번                        개  레이션을  
135,00:02:15,00:02:16,"~""
트린  으립 주인을맞혀라네
가 1",등가이타 이 
136,00:02:16,00:02:17,"놀간음 28095.000
타니 니 중미 기개 피그나 노
| | |",바호이디미느니  니   
137,00:02:17,00:02:18,"ㅋㄱ
놀리 애08020
다 조디래이
| | |",자조 니이느니  니 이리로오스  기애 수 수고
138,00:02:18,00:02:19,"나는 디
주 요 을 } 팬클럽 주인물맞혀래14",나고 보이 이개슨\느시
139,00:02:19,00:02:20,"그
티가기
켜 요         팬클럽 주인을 맞혀라!
1",그 르 그 오그 으으을 벌레                        다               노자   ： 
140,00:02:20,00:02:21,"가
티카
크 요         팬클럽 주인몰 맞혀라!
1",  키오 개 고투레 르    옵      느             ;
141,00:02:21,00:02:22,"타는
으 } 팬클럽 주인을 디노
기                    :",아소 개   느겹      써\  다나  비 를     니시\ 」
142,00:02:22,00:02:23,"나려
더야겨223 틀이그
를",   니       티 라 헤   매  레이션바느라 고 다비치태터 고
143,00:02:23,00:02:24,"토드 이디
라나",，           고물비래 이비 새  ” 그베
144,00:02:24,00:02:25,"지터  ,
타리기 ) 팬클럽주인을맞히라1<",도 소시인  대비      쁘페 삐피가 
145,00:02:25,00:02:26,"늘리우  6996009
느리 |캐 보러
해끄 개이이",시서드미빼버리라 아커 
146,00:02:26,00:02:27,"트래 오드
 키 |” 탠이러
[000 대구",_ 촉   다 패파비하 이프 
147,00:02:27,00:02:28,"[대
타키 }0러구을핏히214",    ㅣ서키벼이 모으 태이신 트미 보그 그태스오; 압  두   호““가? 널 나  그노
148,00:02:28,00:02:29,"|운
턱라기 팬클럽주인을맞혀라14",      ㅣ 므  패이으미 불구시        바비           스멜    
149,00:02:29,00:02:30,"[더
닥러 패2개3 아노",이아   겨루 흐디투세 베몬 새이시 므미 보오  고시 도보비내     노는 거따짝 
150,00:02:30,00:02:31,"티카
려 [0         팬클럽 주인물 맞혀라!4", ㅣ  노라밤가서흔히하는대화 ㅋ ㅇㅇㅇ 너무 한다                 도 스빼심”
151,00:02:31,00:02:32,"트기 키
= 요         팬클럽 주인물 맞혀라!4", 개 고 우트 모럴 내크이비러토키 우오오그  너 ㅇㅇㅇ 너무한다        
152,00:02:32,00:02:33,"고

티가기

= 요       팬클럽 주인을 맞혀라!
나",에             고 배트 일대기    너무 한다                 결 수느   
153,00:02:33,00:02:34,"그

티카 키

켜 요       팬클럽 주인을 맞혀라!
14",               노래방가서른히하는대화 ㅎㅎ;  배인 때 티르      빅     개사근 카머스       소천보해
154,00:02:34,00:02:35,"~ |
= 22두100
느 리이내", 뼈도              
155,00:02:35,00:02:36,"주 완만두
트인
0 을 나 [카이 그다디내",빨 ”에 오 ” 여
156,00:02:36,00:02:37,"높간은
타는 이이
안을] 『팬3럽주인뮬맞히래<",버 제 탄 글 리의보노
157,00:02:37,00:02:38,"가리 22두100
= 2 거기다 캐크이그나 디나
『",
158,00:02:38,00:02:39,"2
그 0 띠    주민를 맞혀

고미 개이 느디노
고",바이브레이션” 
159,00:02:39,00:02:40,"차
준유을 팬클럽 주인몰 맞혀라! <",비시
160,00:02:40,00:02:41,"늘
는 해그 이기크아 그니 내
후뮤        ”",버블 류 일보슈 리포  힌
161,00:02:41,00:02:42,"나래
크덜 팬클럽 주민들 맞혀라!4",레젼바이브
162,00:02:42,00:02:43,"놀리을
브리 ) 팬클럽주인물맞허라!<
| 경",노토 이시나즈 스즈그 ”
163,00:02:43,00:02:44,"4 ㅣ
다라기으 으으으 이",세크비크븐너”                기개 그   해 데서
164,00:02:44,00:02:45,"= -- 0000
 타라고 가고",나둘。       대노빠 테 아트 서시아 본 을“       이  연 소니 고배 틱_ 센스 터지는 팬클럽이름나   피비때 느볼    개때   
165,00:02:45,00:02:46,"기   ㅣ
 티리키 ) 팬클럽주인을 맞혀라!<
]",의타니타씨   자르기 이 센ㅅ 가사주노기드크  베데때 메보도에내내쾌을   유    개     ;    ; 힙
166,00:02:46,00:02:47,"트파크
 [0         아키아 그디디노",
167,00:02:47,00:02:48,"트가
3 [30         아키개이 그다다내",왕부럽
168,00:02:48,00:02:49,"3
3 [이         아키아 그다 디노",왕부럽을  
169,00:02:49,00:02:50,"가라 22두10""
놀리 다 우드리
= 므] 『6럽주인들맞히래<",_  그 ㅋㅋ
170,00:02:50,00:02:51,"타바
30 》 팬클럽 주인물 맞혀라!4",토 뽀도 츠을  
171,00:02:51,00:02:52,"놀리운   | 왕만두 00000 |
브라길 이더   이 그디사
팬클럽 주인물 맞혀라!4",그거ㅜㅜ 구직 는 들  
